go_id,Q,auc_sim,auc_real
SIMGO_119_Q2,Q2,0.47789312256966016,0.5785364720294859
SIMGO_119_Q3,Q3,0.4595852718529256,0.7703793471258541
SIMGO_11_Q2,Q2,0.48205350774257383,0.5220155750904147
SIMGO_11_Q3,Q3,0.5130952002945169,0.789492359972434
SIMGO_120_Q2,Q2,0.44817593934792105,0.5401594166165025
SIMGO_120_Q3,Q3,0.5122754538551805,0.764071386136261
SIMGO_121_Q2,Q2,0.4734565012309887,0.5053352868192498
SIMGO_121_Q3,Q3,0.5060793815144612,0.7734705623008424
SIMGO_122_Q2,Q2,0.4274989645889418,0.45909926179387256
SIMGO_122_Q3,Q3,0.4948454476427142,0.7651340477265347
SIMGO_123_Q2,Q2,0.4626577966452682,0.5925104916708254
SIMGO_123_Q3,Q3,0.4475241826004923,0.7602605107245826
SIMGO_124_Q2,Q2,0.5041346954741033,0.5255864641999952
SIMGO_124_Q3,Q3,0.46976231563930887,0.7656401422450321
SIMGO_125_Q2,Q2,0.4114329858954005,0.4272072542963491
SIMGO_125_Q3,Q3,0.5065179241158739,0.7212282313679519
SIMGO_126_Q2,Q2,0.46360232162168374,0.45895721296890307
SIMGO_126_Q3,Q3,0.4986276891926095,0.7918653786744612
SIMGO_127_Q2,Q2,0.47066679321690713,0.5257944956647551
SIMGO_127_Q3,Q3,0.5057492579554083,0.786782918656876
SIMGO_128_Q2,Q2,0.47418617841282995,0.4887882892516814
SIMGO_128_Q3,Q3,0.5149548100595936,0.7159015470164682
SIMGO_129_Q2,Q2,0.47139538896942085,0.4748178246681241
SIMGO_129_Q3,Q3,0.503982777662732,0.7861038769022801
SIMGO_12_Q2,Q2,0.48614094245415435,0.5371460176407072
SIMGO_12_Q3,Q3,0.4811536550010354,0.7471121670494444
SIMGO_130_Q2,Q2,0.49249294770023705,0.5152355606247823
SIMGO_130_Q3,Q3,0.4623595637468075,0.7841463605902902
SIMGO_131_Q2,Q2,0.4899048917420216,0.5196189646524642
SIMGO_131_Q3,Q3,0.5388908101516302,0.6655235824647002
SIMGO_132_Q2,Q2,0.4560367916062677,0.4950827214182172
SIMGO_132_Q3,Q3,0.501028243712754,0.7552801264228513
SIMGO_133_Q2,Q2,0.5081036446469248,0.42290049975843685
SIMGO_133_Q3,Q3,0.508877027679989,0.7071853568118628
SIMGO_134_Q2,Q2,0.4762160902878443,0.514005596473166
SIMGO_134_Q3,Q3,0.47910706150341686,0.7616497836492134
SIMGO_135_Q2,Q2,0.4810333632452084,0.4385536812650141
SIMGO_135_Q3,Q3,0.5191069119440419,0.7286431545238302
SIMGO_136_Q2,Q2,0.4836117783760153,0.5208329174686913
SIMGO_136_Q3,Q3,0.5633202526402983,0.8017006012214538
SIMGO_137_Q2,Q2,0.45824987920204324,0.38371019818735264
SIMGO_137_Q3,Q3,0.5079859414187432,0.7808309571333524
SIMGO_138_Q2,Q2,0.4686600860541634,0.40531353448958574
SIMGO_138_Q3,Q3,0.48454674305699363,0.688901855944488
SIMGO_139_Q2,Q2,0.4900610662432986,0.5020843611130913
SIMGO_139_Q3,Q3,0.46928422033547323,0.7524847658755612
SIMGO_13_Q2,Q2,0.4845065576033685,0.45474480111303833
SIMGO_13_Q3,Q3,0.4816068314120706,0.7563589751713503
SIMGO_140_Q2,Q2,0.4969661995812338,0.47474104702835007
