GO ID,n_genes,n_neurons_peak,pct_neurons_peak,auc_all,auc_noneurons,auc
GO:0045948,20,4,0.2,0.537610675596824,0.483589990782319,0.537610675596824
GO:0045954,20,6,0.3,0.508843477010765,0.4756027433171815,0.508843477010765
GO:0045995,40,3,0.075,0.447357619893636,0.5444559759675245,0.447357619893636
GO:0046034,25,8,0.32,0.6035242500380695,0.6387953022689206,0.6035242500380695
GO:0046326,33,12,0.36363636363636365,0.584270635657197,0.4887200513438515,0.584270635657197
GO:0046329,26,4,0.15384615384615385,0.5200798243610245,0.560585294042996,0.5200798243610245
GO:0046330,86,16,0.18604651162790697,0.4152802213212985,0.516763467415575,0.4152802213212985
GO:0046427,25,10,0.4,0.487652911019745,0.5086527968123444,0.487652911019745
GO:0046470,17,7,0.4117647058823529,0.508157053720895,0.3744546745802265,0.508157053720895
GO:0046513,28,6,0.21428571428571427,0.6194064371278595,0.643182516916429,0.6194064371278595
GO:0046580,20,2,0.1,0.4680383252572915,0.5833523606565696,0.4680383252572915
GO:0046597,17,5,0.29411764705882354,0.492324861766347,0.43991401613148695,0.492324861766347
GO:0046627,34,10,0.29411764705882354,0.47185339105339097,0.5481027417027415,0.47185339105339097
GO:0046628,19,4,0.21052631578947367,0.46201166920345,0.48289785219008996,0.46201166920345
GO:0046676,31,11,0.3548387096774194,0.5077556875888685,0.5276787527930125,0.5077556875888685
GO:0046677,31,6,0.1935483870967742,0.5684453077391836,0.4305327036359945,0.5684453077391836
GO:0046686,20,3,0.15,0.545413992270678,0.5647520951197029,0.545413992270678
GO:0046697,22,2,0.09090909090909091,0.5269051062611234,0.535434269620157,0.5269051062611234
GO:0046716,22,6,0.2727272727272727,0.512103219913222,0.5891629240567355,0.512103219913222
GO:0046718,94,18,0.19148936170212766,0.4893226176808265,0.509776592636487,0.4893226176808265
GO:0046777,161,40,0.2484472049689441,0.4535201835599285,0.507229220557396,0.4535201835599285
GO:0046835,23,3,0.13043478260869565,0.5117144452177951,0.5731106084333855,0.5117144452177951
GO:0046847,23,4,0.17391304347826086,0.433791543413955,0.49175113102488255,0.433791543413955
GO:0046854,39,9,0.23076923076923078,0.440368980612883,0.505705714509068,0.440368980612883
GO:0046856,19,6,0.3157894736842105,0.5601281075596145,0.6243953999661764,0.5601281075596145
GO:0046907,29,8,0.27586206896551724,0.434039942455784,0.502672703167753,0.434039942455784
GO:0046928,21,10,0.47619047619047616,0.5388513146162714,0.5256906537923436,0.5388513146162714
GO:0048008,28,4,0.14285714285714285,0.4955279702823685,0.547813063234585,0.4955279702823685
GO:0048009,27,6,0.2222222222222222,0.4215430782594965,0.4841142924831625,0.4215430782594965
GO:0048010,27,7,0.25925925925925924,0.4842412089213795,0.5021082230570505,0.4842412089213795
GO:0048013,47,21,0.44680851063829785,0.5482238492305604,0.5288887194088541,0.5482238492305604
GO:0048015,32,9,0.28125,0.4211205911480155,0.45416063583961797,0.4211205911480155
GO:0048025,21,3,0.14285714285714285,0.513379944762195,0.493234818664869,0.513379944762195
GO:0048026,22,4,0.18181818181818182,0.5226296501701845,0.5102618195790155,0.5226296501701845
GO:0048041,24,4,0.16666666666666666,0.470701687603096,0.5832429260246159,0.470701687603096
GO:0048144,30,4,0.13333333333333333,0.4581270469952015,0.498493157640846,0.4581270469952015
GO:0048146,48,8,0.16666666666666666,0.4441340604581395,0.45462382096458454,0.4441340604581395
GO:0048147,29,6,0.20689655172413793,0.4706200107190205,0.52991735070943,0.4706200107190205
GO:0048167,49,28,0.5714285714285714,0.6299961861174675,0.4699624968217645,0.6299961861174675
GO:0048168,23,14,0.6086956521739131,0.6833565338437451,0.5843411055043211,0.6833565338437451
GO:0048208,20,2,0.1,0.47235541348487553,0.574517340233909,0.47235541348487553
GO:0048240,22,9,0.4090909090909091,0.5801915346331881,0.4893811372459465,0.5801915346331881
GO:0048247,15,9,0.6,0.6845379387299655,0.2846622032866705,0.6845379387299655
GO:0048255,31,5,0.16129032258064516,0.521459222019094,0.519657729027016,0.521459222019094
GO:0048260,19,5,0.2631578947368421,0.558667343142229,0.47544605107390503,0.558667343142229
GO:0048278,20,7,0.35,0.5703228725338475,0.5947941243625845,0.5703228725338475
GO:0048286,37,10,0.2702702702702703,0.488104159257566,0.4940885959118695,0.488104159257566
GO:0048468,17,8,0.47058823529411764,0.5550347486430275,0.453203469791508,0.5550347486430275
GO:0048469,27,6,0.2222222222222222,0.4588833045656075,0.40248163942193804,0.4588833045656075
GO:0048477,27,8,0.2962962962962963,0.5280428921153866,0.4480065658104035,0.5280428921153866
GO:0048488,34,15,0.4411764705882353,0.539944588744589,0.48056219336219297,0.539944588744589
GO:0048511,65,13,0.2,0.406143853600704,0.460985402256213,0.406143853600704
GO:0048536,33,9,0.2727272727272727,0.527384926516421,0.4686003721505775,0.527384926516421
GO:0048538,44,12,0.2727272727272727,0.48205163117477245,0.464235789626564,0.48205163117477245
GO:0048565,24,7,0.2916666666666667,0.520211584824261,0.49797614515924404,0.520211584824261
GO:0048568,28,0,0.0,0.4547127662275025,0.5751007652233759,0.4547127662275025
GO:0048589,20,3,0.15,0.48855612214695854,0.52953674810361,0.48855612214695854
GO:0048661,47,9,0.19148936170212766,0.5019761372110365,0.570544369873229,0.5019761372110365
GO:0048662,28,8,0.2857142857142857,0.468468735280098,0.4169762253305015,0.468468735280098
GO:0048666,49,10,0.20408163265306123,0.5346507119247395,0.5250413170607675,0.5346507119247395
GO:0048675,31,11,0.3548387096774194,0.5353011375177741,0.4961976944952265,0.5353011375177741
GO:0048678,34,9,0.2647058823529412,0.47071168831168797,0.5164017316017315,0.47071168831168797
GO:0048701,26,3,0.11538461538461539,0.524485075763344,0.5497125561562479,0.524485075763344
GO:0048704,24,8,0.3333333333333333,0.525853318106839,0.41578004060398455,0.525853318106839
GO:0048705,28,7,0.25,0.517673754784409,0.5055706456589866,0.517673754784409
GO:0048706,25,9,0.36,0.6608944342926755,0.5770757195066241,0.6608944342926755
GO:0048709,33,7,0.21212121212121213,0.4559433278388025,0.4892775846227015,0.4559433278388025
GO:0048714,25,4,0.16,0.3760120044667785,0.44844963453631803,0.3760120044667785
GO:0048741,28,12,0.42857142857142855,0.5496196447761446,0.49271444165207,0.5496196447761446
GO:0048754,22,9,0.4090909090909091,0.6031818527822179,0.522453847185521,0.6031818527822179
GO:0048812,52,17,0.3269230769230769,0.530478400256112,0.5211098096063025,0.530478400256112
GO:0048813,33,12,0.36363636363636365,0.527466882754099,0.604879743650123,0.527466882754099
GO:0048814,19,7,0.3684210526315789,0.5535197869101975,0.6188694402164725,0.5535197869101975
GO:0048821,22,2,0.09090909090909091,0.3986396111310475,0.49836702588472404,0.3986396111310475
GO:0048839,36,11,0.3055555555555556,0.534783078056339,0.468229021141846,0.534783078056339
GO:0048843,26,8,0.3076923076923077,0.5087771897763905,0.538508274321683,0.5087771897763905
GO:0048844,22,3,0.13636363636363635,0.508538225368552,0.48869786172823404,0.508538225368552
GO:0048854,18,9,0.5,0.546658465024647,0.615634697173393,0.546658465024647
GO:0048856,45,14,0.3111111111111111,0.5966668361208549,0.5607095046854085,0.5966668361208549
GO:0048863,39,8,0.20512820512820512,0.497677259224515,0.5205020716072546,0.497677259224515
GO:0048870,30,6,0.2,0.5152905781095289,0.42537766268057997,0.5152905781095289
GO:0048873,28,4,0.14285714285714285,0.4086964125041955,0.5261326744458266,0.4086964125041955
GO:0050482,20,7,0.35,0.5101035086384049,0.348071052253258,0.5101035086384049
GO:0050673,45,6,0.13333333333333333,0.4350066934404285,0.527377018623015,0.4350066934404285
GO:0050678,18,1,0.05555555555555555,0.520330771377115,0.5503196103797274,0.520330771377115
GO:0050679,62,19,0.3064516129032258,0.5260199536789595,0.5346281591204095,0.5260199536789595
GO:0050680,52,10,0.19230769230769232,0.440075427439611,0.48007874852084753,0.440075427439611
GO:0050714,44,9,0.20454545454545456,0.5088021712688124,0.5212107183704595,0.5088021712688124
GO:0050727,84,15,0.17857142857142858,0.4961863789492855,0.5038568697077299,0.4961863789492855
GO:0050728,84,19,0.2261904761904762,0.5211358463079305,0.5195975598652465,0.5211358463079305
GO:0050729,88,17,0.19318181818181818,0.5378001841402,0.5092588928548505,0.5378001841402
GO:0050730,21,4,0.19047619047619047,0.47187185119138253,0.527296319654365,0.47187185119138253
GO:0050731,81,18,0.2222222222222222,0.49375683222601696,0.482155500048144,0.49375683222601696
GO:0050766,43,10,0.23255813953488372,0.5075852466634715,0.543372144527222,0.5075852466634715
GO:0050767,33,7,0.21212121212121213,0.502426366360543,0.4381114974212645,0.502426366360543
GO:0050768,21,3,0.14285714285714285,0.572666347708211,0.5167344453384946,0.572666347708211
GO:0050769,30,5,0.16666666666666666,0.432630055602102,0.5041003376748675,0.432630055602102
GO:0050770,19,7,0.3684210526315789,0.6115804160324709,0.585068915947911,0.6115804160324709
GO:0050772,31,12,0.3870967741935484,0.5390386959171235,0.564130103595369,0.5390386959171235
GO:0050775,22,9,0.4090909090909091,0.523387234165951,0.5597440163551145,0.523387234165951
GO:0050776,24,7,0.2916666666666667,0.5488262910798121,0.523891320898363,0.5488262910798121
GO:0050790,19,0,0.0,0.45056443429731097,0.5824264332825975,0.45056443429731097
GO:0050796,39,20,0.5128205128205128,0.6381937929956221,0.5445639853033151,0.6381937929956221
GO:0050804,71,31,0.43661971830985913,0.5357031333049855,0.5499943526097585,0.5357031333049855
GO:0050807,18,7,0.3888888888888889,0.5823250386830019,0.49789251621303954,0.5823250386830019
GO:0050808,44,19,0.4318181818181818,0.4966523246736745,0.545187262857869,0.4966523246736745
GO:0050821,185,34,0.1837837837837838,0.464418328039012,0.5417990246992515,0.464418328039012
GO:0050829,46,14,0.30434782608695654,0.5107204894210156,0.437688214409788,0.5107204894210156
GO:0050830,63,13,0.20634920634920634,0.53830565009551,0.47177679359261504,0.53830565009551
GO:0050832,17,5,0.29411764705882354,0.5079287779637804,0.342062344645665,0.5079287779637804
GO:0050850,16,6,0.375,0.4942554972228565,0.442111136473154,0.4942554972228565
GO:0050852,83,14,0.1686746987951807,0.48870893428352347,0.579689394196889,0.48870893428352347
GO:0050853,40,6,0.15,0.5047904683166515,0.490866642821822,0.5047904683166515
GO:0050860,23,6,0.2608695652173913,0.508433748042457,0.5336878661330545,0.508433748042457
GO:0050870,18,5,0.2777777777777778,0.44188671587651895,0.473097345881,0.44188671587651895
GO:0050873,31,8,0.25806451612903225,0.5220774933983345,0.4611771277676215,0.5220774933983345
GO:0050877,47,33,0.7021276595744681,0.671953596366348,0.5115475222018845,0.671953596366348
GO:0050885,36,13,0.3611111111111111,0.49487964303555254,0.49287933822720054,0.49487964303555254
GO:0050890,38,11,0.2894736842105263,0.472429692858776,0.520163817120985,0.472429692858776
GO:0050896,57,24,0.42105263157894735,0.5965079658388835,0.505903745778735,0.5965079658388835
GO:0050900,22,3,0.13636363636363635,0.426604972505863,0.5006198414510815,0.426604972505863
GO:0050901,19,5,0.2631578947368421,0.5684550989345509,0.589611872146119,0.5684550989345509
GO:0050908,19,8,0.42105263157894735,0.5703048368002706,0.5614176391002875,0.5703048368002706
GO:0050911,98,83,0.8469387755102041,0.838257343746012,0.22136593037796998,0.838257343746012
GO:0050918,28,4,0.14285714285714285,0.462445386518191,0.5697007646592596,0.462445386518191
GO:0050919,37,16,0.43243243243243246,0.5534661890971906,0.521271528730376,0.5534661890971906
GO:0051000,19,6,0.3157894736842105,0.43470319634703203,0.43953365465922545,0.43470319634703203
GO:0051016,18,3,0.16666666666666666,0.5221148398988745,0.479193617938767,0.5221148398988745
GO:0051017,34,7,0.20588235294117646,0.4669252525252525,0.546854834054834,0.4669252525252525
GO:0051028,53,11,0.20754716981132076,0.4448621047686585,0.525576520857084,0.4448621047686585
GO:0051056,103,26,0.2524271844660194,0.4960554534313725,0.5696704692906576,0.4960554534313725
GO:0051085,27,5,0.18518518518518517,0.5388223282679574,0.597045949391365,0.5388223282679574
GO:0051090,22,4,0.18181818181818182,0.484879130917039,0.4971382173939835,0.484879130917039
GO:0051091,103,25,0.24271844660194175,0.493039035467128,0.5273583928056516,0.493039035467128
GO:0051092,143,27,0.1888111888111888,0.5083552376344225,0.534550493228193,0.5083552376344225
GO:0051123,42,7,0.16666666666666666,0.533560592034328,0.5719558769608325,0.533560592034328
